植物名（流通名）,学名,英名・別名,科名・属名,原産地,耐陰性（日照条件）,耐寒性（越冬温度）,耐暑性・耐湿性,推奨置き場所,水やりの頻度,季節ごとの注意点,好む湿度・葉霧,栽培難易度,分類,開花・見頃時期,花・実・葉の色,最大成長サイズ,成長スピード,適した土のタイプ,植え替え時期・周期,肥料の与え方,かかりやすい病気,つきやすい害虫,病害虫の対策・薬剤,剪定・切り戻し,ペット・子供への安全性,インテリアスタイル,機能性・効果,風水・花言葉,ギフト適性,仕入れルート・季節性,店舗陳列場所,価格帯（目安）,
アゴニザントス(カルカンルーポー),Anigozanthos,Kangaroo Paw / カンガルーポー,ハエモドルム科アニゴザントス属,西オーストラリア,低（日向必須）,0℃以上（寒冷地は室内へ）,強い / 弱い（梅雨・夏の蒸れに弱い）,ベランダ / 庭（鉢植え） / 室内窓際,土が乾いたらたっぷり（開花期は水切れ注意）,夏は直射日光を避けた涼しい風通しの良い場所へ退避。,乾燥好む,中級者向け,多年草,3月〜6月（開花期）,花：カンガルーの足のような起毛、赤・黄・緑,樹高0.3m〜1m,普通,水はけ重視（山野草の土など）,春（花後）または秋、毎年〜2年に1回,春と秋の生育期に緩効性肥料を少し与える,黒斑病（梅雨時期）,アブラムシ・ハダニ,梅雨時は雨に当てない。黒斑病が出たら葉をカット。,花が終わったら、茎の根元から切り落とす。,安全（毒性なし）,ナチュラル / ポップ / カジュアル,ユニークな花の鑑賞 / カット花・ドライフラワー,花言葉「不思議」「驚き」「こっちを向いて」,母の日 / 誕生日 / 個性派ギフト,春夏のみ（春に開花株が大量流通）,屋外・明るい軒下エリア,"3号ポット：500円 / 5号鉢：2,500円",
ツリージャーマンダー,Teucrium fruticans,Tree germander / クリソセファラム,シソ科ニガクサ属,地中海沿岸,低（日向必須）,-5℃以上（寒さに比較的強い）,強い / 普通,庭 / ベランダ,土が乾いたらたっぷり,過湿にはやや弱いが、乾燥には非常に強い。日当たりを好む。,乾燥好む,初心者向け,常緑性低木,5月〜10月（開花期が長い）,葉：シルバー、花：淡いブルー（薄紫）,樹高1m〜2m（トピアリー仕立て可）,早い,水はけ重視（ハーブの土など）,春（3〜4月）または秋、2年に1回,春と秋に緩効性肥料を控えめに施す,特になし,特になし,特別な病害虫の心配はないが、風通しは良く保つ。,いつでも剪定可能。刈り込みに強く、トピアリーに最適。,安全（毒性なし）,北欧 / フレンチ / シャビーシック,カラーリーフ / 蜂を呼ぶ蜜源植物,花言葉「愛嬌」「淡白」,新築祝い / お庭のアクセント,通年安定,屋外・日向エリア（ハーブ・低木）,"3号ポット：400円 / 5号鉢：2,200円",
ウエストリンギア,Westringia fruticosa,Coast rosemary / オーストラリアンローズマリー,シソ科ウエストリンギア属,オーストラリア東海岸,中（半日陰OK）〜低,-5℃以上（関東以西は地植え可）,強い / 普通,庭 / ベランダ / 室内リビング（窓際）,土が乾いたらたっぷり,ローズマリーに似るが過湿に少し強い。ただし水のやりすぎはNG。,乾燥好む,初心者向け,常緑性低木,通年（春〜秋に薄紫〜白の小花）,葉：細いシルバーグリーン、花：白または淡紫,樹高1m〜1.5m,早い,一般的な観葉植物の土、または培養土,春（4〜5月）または秋、1〜2年に1回,春〜秋の生育期に緩効性肥料を2ヶ月に1回,特になし,ハダニ・カイガラムシ,室内管理で乾燥しすぎるとハダニが出るため、たまに葉水。,周年剪定可能。非常にタフで、どんな形にも刈り込める。,安全（毒性なし）,北欧 / モダン / ナチュラル,インテリア・エクステリア万能 / 生垣,花言葉「誠実」「浮気心」,新築祝い / 開店祝い / 一人暮らし,通年安定,屋外・日向・定番コーナー / 室内窓際,"3号ポット：450円 / 8号鉢：8,800円",
ジャカランタ,Jacaranda mimosifolia,Green ebony / 世界三大花木,ノウゼンカズラ科ジャカランダ属,南米（ブラジルなど）,低（日向必須）,0℃以上（幼木は室内へ、成木は-3℃耐える）,強い / 普通,庭 / ベランダ / 室内リビング,土が乾いたらたっぷり,観葉植物として室内でも育つが、花を咲かせるには屋外の日向が必須。,普通,中級者向け,落葉性高木（日本では半常緑）,5月〜6月（開花期）,葉：ネムノキに似た繊細な葉、花：紫藍色,樹高2m〜10m以上（鉢植えで制限可）,早い,一般的な観葉植物の土、または培養土,春（5〜6月）、2年に1回,春〜秋の生育期に緩効性肥料を2ヶ月に1回,特になし,カイガラムシ,風通しを良くし、見つけ次第ブラシでこすり落とす。,春先に不要な枝を剪定。花を咲かせたい場合は強剪定を避ける。,注意（葉や樹液に軽い毒性あり、誤食注意）,モダン / アジアン / リゾートスタイル,美しい花と涼しげな葉の鑑賞,名誉・栄光 / 花言葉「名誉」「栄光」,新築祝い / 開店祝い / 記念樹,通年安定（観葉仕立ては年中流通）,屋外・日向（大鉢）/ 室内窓際（小〜中鉢）,"4号鉢：1,500円 / 10号鉢：25,000円",
ロシアンオリーブ,Elaeagnus angustifolia,Russian olive / ホソバグミ,グミ科グミ属,中央アジア〜西アジア,低（日向必須）,-15℃以上（極めて寒さに強い）,強い / 強い（非常に強健）,庭 / ベランダ,土が乾いたらたっぷり,非常に強健だが、トゲがあるため剪定時の怪我に注意。,乾燥好む,初心者向け,落葉性高木,5月〜6月（花）、10月（実）,葉：美しいシルバーリーフ、花：黄、実：赤,樹高2m〜5m,早い,一般的な培養土、痩せ地でも育つ,春（3〜4月）、根詰まりしたら,ほぼ不要（与えすぎると枝が暴れる）,特になし,アブラムシ,特別な対策は不要。風通しだけ確保する。,冬の落葉期に大胆に剪定して樹形を整える。トゲに注意。,安全（毒性なし）,北欧 / ナチュラル / カントリー,お庭の背景・目隠し / シルバーリーフの美しさ,花言葉「純潔」「安心」,新築祝い / マイホームの植栽用,通年安定,屋外・日向・庭木コーナー,"5号鉢：2,500円 / 8号鉢：11,000円",
フェイジョア,Acca sellowiana,Feijoa / パイナップルグアバ,フトモモ科フェイジョア属,南米ウルグアイ・パラグアイ,低（日向必須）,-10℃以上（寒さに強い常緑樹）,強い / 普通,庭 / ベランダ,土が乾いたらたっぷり,実を収穫したい場合は、2品種以上を近くに植える（一部自家結実あり）。,普通,初心者向け,常緑性中木,5月〜6月（花）、10月〜11月（実）,葉：裏面が白い緑葉、花：エキゾチックな赤・白,樹高2m〜4m,普通,一般的な培養土、果樹の土,春（3〜4月）、2〜3年に1回,3月、10月に有機質肥料または緩効性肥料を施す,特になし,コガネムシ（幼虫が根を食害）,鉢植えの場合、コガネムシの産卵を防ぐネットが有効。,3月〜4月の新芽が出る前に、混み合った枝を間引く剪定。,安全（毒性なし）、実はエディブル,ナチュラル / 南国風 / リゾートスタイル,エキゾチックな花と美味しい実の収穫,実りある人生 / 花言葉「実りある人生」「情熱」,新築祝い / 結婚祝い / 果樹ギフト,通年安定（秋に実付き株が流通）,屋外・日向・果樹コーナー,"5号鉢：3,000円 / 8号鉢：13,000円",
シマトネリコ,Fraxinus griffithii,Griffith's ash / タイワンシマトネリコ,モクセイ科トネリコ属,沖縄・台湾・東南アジア,中（半日陰OK）〜低,-5℃以上（霜で葉が落ちるが春に復活）,強い / 強い（極めてタフ）,庭 / ベランダ / 室内リビング（窓際）,土が乾いたらたっぷり（水切れに注意）,成長が非常に早いため、地植えの際は植える場所に注意（巨大化する）。,普通,初心者向け,常緑性高木（寒冷地では半落葉）,通年（葉の見頃）,葉：艶のある鮮やかな緑（小葉が対生）,樹高2m〜10m以上（鉢植えで維持可能）,早い,一般的な観葉植物の土、または培養土,春（4〜5月）、毎年〜2年に1回,春〜秋の生育期に緩効性肥料を2ヶ月に1回,特になし,ハダニ・ハマキムシ,屋外では夏場にハマキムシが発生しやすいため、オルトラン撒布。,春〜秋にいつでも剪定可能。こまめに切ることで美しい樹形を維持。,安全（毒性なし）,北欧 / モダン / ナチュラル,シンボルツリーの王道 / インテリアグリーン,偉大・高潔 / 花言葉「偉大」「高潔」「威厳」,新築祝い / 開店祝い / 一人暮らし,通年安定,屋外シンボルツリー面 / 室内大鉢コーナー,"5号鉢：2,000円 / 10号鉢（シンボルツリー）：18,000円",
月桂樹,Laurus nobilis,Bay laurel / ローリエ,クスノキ科ゲッケイジュ属,地中海沿岸,中（半日陰OK）〜低,-10℃以上（耐寒性・耐陰性ともに高い）,強い / 普通,庭 / ベランダ,土が乾いたらたっぷり,過湿にすると根腐れしやすいので、水はけの良い環境を作る。,乾燥好む,初心者向け,常緑性高木,通年（葉の見頃、料理用）,葉：濃緑で硬い（揉むと芳香）、花：淡黄,樹高2m〜7m以上,普通,一般的な培養土、ハーブの土,春（4〜5月）、2〜3年に1回,春と秋に緩効性肥料を適量与える,すす病（カイガラムシが原因）,カイガラムシ,すす病予防のため、カイガラムシを見つけ次第こすり落とす。,春（3〜4月）または秋（夏を避ける）。トピアリーに仕立てやすい。,安全（食用ハーブ、犬猫には多量摂取注意）,ナチュラル / カントリー / クラシック,キッチンハーブとしての実用性 / 目隠し樹木,勝利・栄光 / 花言葉「勝利」「栄光」「輝かしい未来」,新築祝い / 開店祝い / 料理好きな方へのギフト,通年安定,屋外・日向〜半日陰（ハーブ・木本）,"3号ポット：500円 / 8号鉢：12,000円",
アオダモ,Fraxinus lanuginosa f. serrata,Japanese ash / コバノトネリコ,モクセイ科トネリコ属,日本・朝鮮半島,中（半日陰OK）〜低,-20℃以上（極めて寒さに強い）,強い / 普通（西日を避ける）,庭 / ベランダ,土が乾いたらたっぷり,夏の西日が強く当たる場所だと葉焼け・乾燥するため避ける。,普通,初心者向け,落葉性高木,4月〜5月（花）、11月（紅葉）,葉：爽やかな緑（秋に紅葉）、幹：白斑の美しい美肌,樹高2m〜8m,遅い,一般的な培養土、山の土を好む,冬の落葉期（12〜2月）、鉢植えの場合,12月〜2月に寒肥として有機質肥料を少し,特になし,テッポウムシ（カミキリムシの幼虫）,株元に木くずがないかチェック。発見時は薬剤注入。,自然樹形が美しいため、剪定はほぼ不要。邪魔な枝を落とす程度。,安全（毒性なし）,モダン /和モダン / ミニマル / ナチュラル,雑木風のお庭の主役 / 美しい幹肌の鑑賞,花言葉「幸福な日々」「未来への憧れ」,新築祝い / 注文住宅の植栽用,通年安定（落葉期に流通増）,屋外・落葉樹・シンボルツリーコーナー,"6号鉢：5,000円 / 株立ち2m大株：35,000円",
ジューンベリー,Amelanchier lamarckii,Juneberry / アメリカザイフリボク,バラ科ザイフリボク属,北アメリカ,中（半日陰OK）〜低,-20℃以上（極めて耐寒性が高い）,強い / 普通,庭 / ベランダ,土が乾いたらたっぷり,実を収穫したい場合は、鳥に食べられないようネット等の対策が必要。,普通,初心者向け,落葉性高木,4月（花）、6月（実）、11月（紅葉）,花：白、実：赤〜黒紫、葉：秋に鮮やかに紅葉,樹高2m〜5m,普通,一般的な培養土、果樹の土,冬の落葉期（12〜2月）、鉢植えの場合,12月〜2月に寒肥、花後の6月に追肥（緩効性）,うどんこ病,アブラムシ・コガネムシ,風通しを良くし、春先のアブラムシに注意する。,冬の落葉期に、混み合った枝や高さを抑える剪定を行う。,安全（毒性なし）、実はエディブル,北欧 / ナチュラル / カントリー,花・実・紅葉と四季を通じて楽しめる家庭果樹,花言葉「穏やかな笑顔」「穏やかな表情」,新築祝い / 出産祝い（記念樹）,通年安定（春の開花期・実付き期に流通増）,屋外・果樹・落葉樹コーナー,"5号鉢：3,500円 / 株立ち1.8m：22,000円",
オオデマリ,Viburnum plicatum var. plicatum,Japanese snowball / ビバーナム・プレカツム,レンプクソウ科ガマズミ属,日本・中国,中（半日陰OK）〜低,-15℃以上,強い / 普通（西日は避ける）,庭 / ベランダ,土が乾いたらたっぷり,水切れに弱い。特に開花期や夏の乾燥期はたっぷりと水やり。,普通,初心者向け,落葉性低木〜中木,4月〜5月（開花期）,花：咲き始めの緑から純白へ変化する手毬状の花,樹高1.5m〜3m,普通,一般的な培養土,冬の落葉期（12〜2月）、2〜3年に1回,冬の寒肥と、花後の5〜6月に緩効性肥料を施す,特になし,アブラムシ・サンゴジュハムシ,春先の新芽にアブラムシがつきやすいため、早めの薬剤散布。,花後すぐ（6月まで）に剪定。夏以降に切ると翌年の花芽を落とす。,安全（毒性なし）,北欧 / ナチュラル /和モダン,圧倒的なボリュームの美しい白花,花言葉「華やかな生活」「約束を守って」,新築祝い / 母の日ギフト,春夏のみ（4〜5月の開花期にスポット流通）,屋外・花木コーナー最前線,"5号鉢：2,800円 / 6号鉢：4,500円",
